0;0;0;0;land;false;unknown;1
1;0;0;0;land;true;plains;1
2;255;255;255;sea;false;ocean;0
3;1;1;1;sea;false;ocean;0
4;254;254;254;sea;false;ocean;0
5;2;2;2;sea;false;ocean;0
6;253;253;253;sea;false;ocean;0
7;3;3;3;sea;false;ocean;0
8;252;252;252;sea;false;ocean;0
9;4;4;4;sea;false;ocean;0
10;251;251;251;sea;false;ocean;0
11;5;5;5;sea;false;ocean;0
12;250;250;250;sea;false;ocean;0
13;6;6;6;sea;false;ocean;0
14;249;249;249;sea;false;ocean;0
15;7;7;7;sea;false;ocean;0
16;248;248;248;sea;false;ocean;0
17;8;8;8;sea;false;ocean;0
18;247;247;247;sea;false;ocean;0
19;9;9;9;sea;false;ocean;0
20;246;246;246;sea;false;ocean;0
21;10;10;10;sea;false;ocean;0
22;245;245;245;sea;false;ocean;0
23;11;11;11;sea;false;ocean;0
24;244;244;244;sea;false;ocean;0
25;12;12;12;sea;false;ocean;0
26;243;243;243;sea;false;ocean;0
27;13;13;13;sea;false;ocean;0
28;242;242;242;sea;false;ocean;0
29;14;14;14;sea;false;ocean;0
30;241;241;241;sea;false;ocean;0
31;15;15;15;sea;false;ocean;0
32;240;240;240;sea;false;ocean;0
33;16;16;16;sea;false;ocean;0
34;239;239;239;sea;false;ocean;0
35;17;17;17;sea;false;ocean;0
36;238;238;238;sea;false;ocean;0
37;18;18;18;sea;false;ocean;0
38;237;237;237;sea;false;ocean;0
39;19;19;19;sea;false;ocean;0
40;236;236;236;sea;false;ocean;0
41;20;20;20;sea;false;ocean;0
42;235;235;235;sea;false;ocean;0
43;21;21;21;sea;false;ocean;0
44;234;234;234;sea;false;ocean;0
45;22;22;22;sea;false;ocean;0
46;233;233;233;sea;false;ocean;0
47;27;24;38;land;false;unknown;1
48;238;132;224;land;false;unknown;1
49;19;29;1;land;false;unknown;1
50;254;219;208;land;false;unknown;1
51;51;24;9;land;false;unknown;1
52;63;9;12;land;false;unknown;1
53;185;185;185;land;false;unknown;1
54;58;13;5;land;false;unknown;1
55;12;2;32;land;false;unknown;1
56;11;43;45;land;false;unknown;1
57;251;245;159;land;false;unknown;1
58;19;12;64;land;false;unknown;1
59;17;11;44;land;false;unknown;1
60;15;54;14;land;false;unknown;1
61;8;22;49;land;false;unknown;1
62;224;118;214;land;false;unknown;1
63;5;44;9;land;false;unknown;1
64;59;18;16;land;false;unknown;1
65;17;2;59;land;false;unknown;1
66;13;65;5;land;false;unknown;1
67;2;25;4;land;false;unknown;1
68;4;31;36;land;false;unknown;1
69;101;238;168;land;false;unknown;1
70;14;51;1;land;false;unknown;1
71;253;184;115;land;false;unknown;1
72;249;156;136;land;false;unknown;1
73;104;225;173;land;false;unknown;1
74;235;182;99;land;false;unknown;1
75;10;13;1;land;false;unknown;1
76;29;17;52;land;false;unknown;1
77;103;221;211;land;false;unknown;1
78;24;10;55;land;false;unknown;1
79;242;146;196;land;false;unknown;1
80;250;119;228;land;false;unknown;1
81;212;245;102;land;false;unknown;1
82;123;245;158;land;false;unknown;1
83;170;238;244;land;false;unknown;1
84;248;225;169;land;false;unknown;1
85;173;199;182;land;false;unknown;1
86;19;34;24;land;false;unknown;1
87;46;49;4;land;false;unknown;1
88;11;1;80;land;false;unknown;1
89;192;248;192;land;false;unknown;1
90;3;45;24;land;false;unknown;1
91;6;8;60;land;false;unknown;1
92;182;213;246;land;false;unknown;1
93;188;127;213;land;false;unknown;1
94;254;240;210;land;false;unknown;1
95;128;227;254;land;false;unknown;1
96;244;39;219;land;false;unknown;1
97;80;9;0;land;false;unknown;1
98;221;245;107;land;false;unknown;1
99;241;202;144;land;false;unknown;1
100;246;141;246;land;false;unknown;1
101;165;220;138;land;false;unknown;1
102;215;177;172;land;false;unknown;1
103;248;40;215;land;false;unknown;1
104;32;2;16;land;false;unknown;1
105;3;31;53;land;false;unknown;1
